engIPA10000,r,circumstances,sɝkəmstænsɪz
engIPA10000,r,pupils,pjuːpəlz
engIPA2000,r,january,d͡ʒænjuɛɹi
engIPA10000,w,kɑliɡ,colleague
engIPA10000,r,happened,hæpənd
engIPA5000,w,ɪstæblɪʃmənt,establishment
engIPA10000,r,broke,bɹoʊk
engIPA5000,r,god,ɡɑd
engIPA10000,w,ðɛɚfɔɹ,therefore
engIPA5000,w,sɪɹiəsli,seriously
engIPA10000,r,campaign,kəmpeɪn
engIPA10000,r,sheffield,ʃɛfiːld
engIPA10000,w,ɪkskluzɪv,exclusive
engIPA2000,w,swit,sweet
engIPA10000,r,opposition,ɑpəzɪʃən
engIPA10000,w,tɔʊ̯k,talk
engIPA2000,w,fɑɹɪn,foreign
engIPA5000,r,fixed,fɪkst
engIPA2000,w,lɛd,lead
engIPA5000,r,sons,sʌnz
engIPA10000,w,wʌns,one's
engIPA10000,r,perfectly,pɝfɪktli
engIPA5000,r,football,fʊtbɔl
engIPA10000,w,kɑɹmə,karma
engIPA5000,r,would,əd
engIPA10000,r,hes,hɛz
engIPA10000,w,kʌm,come
engIPA10000,r,fi,fiː
engIPA5000,r,forest,fɔɹɪst
engIPA10000,w,ɪkstɛnʃən,extension
engIPA10000,r,average,ævəɹɪd͡ʒ
engIPA5000,w,sɪvɪɹ,severe
engIPA10000,w,kɹuːəl,cruel
engIPA5000,w,kʌvɚ,cover
engIPA10000,w,dɹɑmə,drama
engIPA5000,w,əsaɪd,aside
engIPA10000,w,dɪsɪʒən,decision
engIPA5000,r,stage,steɪd͡ʒ
engIPA5000,w,ɪmoʊʃnəl,emotional
engIPA10000,w,tɝm,term
engIPA10000,r,consistently,kənsɪstəntli
engIPA10000,w,spaɪn,spine
engIPA2000,r,about,əbaʊt
engIPA10000,r,cos,kʌz
engIPA2000,w,dɪsaɪdəd,decided
engIPA5000,r,drunk,dɹʌŋk
engIPA2000,w,ɛvɹiwʌn,everyone
engIPA10000,w,biːn,been
engIPA10000,r,karen,kæɹən
engIPA5000,w,bʌd͡ʒɪt,budget
engIPA5000,r,realize,ɹiəlaɪz
engIPA5000,r,ordered,ɔɹdɚd
engIPA10000,w,ɪʃju,issue
engIPA10000,r,peer,pɪɹ
engIPA10000,w,səspɛktɪd,suspected
engIPA5000,r,ben,bɛn
engIPA10000,w,əlaɪnd,aligned
engIPA10000,w,spɛnsɚ,spencer
engIPA5000,w,tɛn,ten
engIPA2000,r,miles,maɪlz
engIPA10000,r,desirable,dɪzaɪəɹəbəl
engIPA10000,w,mɑli,molly
engIPA5000,w,ɹæŋk,rank
engIPA5000,r,possible,pɑsəbl̩
engIPA5000,w,bɪɹ,beer
engIPA10000,r,stewart,stjuɚt
engIPA10000,w,mɪzəɹəbəl,miserable
engIPA5000,w,ðæt,that
engIPA10000,r,nine,naɪn
engIPA5000,w,saɪd,said
engIPA5000,w,stɔɹ,store
engIPA10000,w,wɝθləs,worthless
engIPA10000,r,graphic,ɡɹæfɪk
engIPA10000,r,schedule,skɛd͡ʒʊl
engIPA10000,r,trinity,tɹɪnɪti
engIPA5000,w,bɹoʊ,bro
engIPA5000,w,kloʊzd,closed
engIPA5000,r,what's,ʍɑts
engIPA5000,w,oʊnɚʃɪp,ownership
engIPA10000,w,aɪvi,ivy
engIPA10000,w,ɪzənt,isn't
engIPA10000,w,moʊmənts,moments
engIPA10000,w,vɪzɪts,visits
